Performing initial speed check (None compression)...

Performing Avro speed check with all compressors...

Running benchmarks...
ID                             | Ratio (%)  | Speed      | Ser+Comp   | De+Deser   | Status    
------------------------------------------------------------------------------------------
Avro/Brotli/len=100       | 38.55      | 12.34      | 13.91      | 109.51     | OK        
GoAvro/Brotli/len=100     | 38.55      | 5.80       | 8.63       | 17.64      | OK        
Avro/DataDogZstdBest/len=100 | 39.76      | 4.78       | 4.86       | 319.42     | OK        
GoAvro/DataDogZstdBest/len=100 | 39.76      | 3.20       | 3.76       | 21.33      | OK        
Avro/GozstdBest/len=100   | 39.76      | 4.79       | 4.86       | 347.79     | OK        
GoAvro/GozstdBest/len=100 | 39.76      | 3.00       | 3.54       | 19.71      | OK        
Avro/XZ/len=100           | 39.76      | 1.02       | 1.26       | 5.21       | OK        
GoAvro/XZ/len=100         | 39.76      | 0.93       | 1.19       | 4.41       | OK        
GoAvro/Pzip/len=100       | 40.96      | 4.28       | 8.41       | 8.70       | OK        
Avro/Flate/len=100        | 40.96      | 30.60      | 39.37      | 137.36     | OK        
GoAvro/Flate/len=100      | 40.96      | 8.26       | 15.01      | 18.35      | OK        
GoAvro/Gzip/len=100       | 40.96      | 7.85       | 13.64      | 18.52      | OK        
Avro/Gzip/len=100         | 40.96      | 27.39      | 33.71      | 146.20     | OK        
Avro/Pzip/len=100         | 40.96      | 6.80       | 12.55      | 14.85      | OK        
Avro/Zlib/len=100         | 40.96      | 29.39      | 37.52      | 135.59     | OK        
GoAvro/Zlib/len=100       | 40.96      | 7.68       | 14.88      | 15.86      | OK        
GoAvro/ZstdBest/len=100   | 40.96      | 8.12       | 13.71      | 19.90      | OK        
GoAvro/Gozstd/len=100     | 40.96      | 9.58       | 19.75      | 18.59      | OK        
Avro/ZstdBest/len=100     | 40.96      | 41.55      | 47.49      | 332.29     | OK        
Avro/Gozstd/len=100       | 40.96      | 138.83     | 212.41     | 400.76     | OK        
GoAvro/DataDogZstd/len=100 | 40.96      | 10.21      | 20.94      | 19.93      | OK        
Avro/DataDogZstd/len=100  | 40.96      | 77.87      | 98.83      | 367.01     | OK        
JsonIter/GozstdBest/len=100 | 42.17      | 1.01       | 1.02       | 70.01      | OK        
Sonic/DataDogZstdBest/len=100 | 42.17      | 1.01       | 1.02       | 91.50      | OK        
Avro/GozstdFastest/len=100 | 42.17      | 139.13     | 250.69     | 312.64     | OK        
Avro/DataDogZstdFastest/len=100 | 42.17      | 146.39     | 242.67     | 368.98     | OK        
JSON/DataDogZstdBest/len=100 | 42.17      | 1.00       | 1.02       | 46.73      | OK        
EasyJSON/DataDogZstdBest/len=100 | 42.17      | 1.00       | 1.01       | 110.45     | OK        
EasyJSON/GozstdBest/len=100 | 42.17      | 1.00       | 1.01       | 109.73     | OK        
EasyJSON/Brotli/len=100   | 42.17      | 8.88       | 10.54      | 56.45      | OK        
JsonIter/Brotli/len=100   | 42.17      | 8.42       | 10.67      | 39.91      | OK        
Avro/Zstd/len=100         | 42.17      | 22.58      | 25.69      | 186.96     | OK        
